"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2019","1,886.50","1,875.75","1,878.25","1,868.65","-","0.44%"
"Mar 14, 2019","1,878.25","1,884.75","1,884.75","1,880.15","-","-0.27%"
"Mar 13, 2019","1,883.25","1,883.75","1,885.50","1,850.00","-","1.80%"
"Mar 12, 2019","1,850.00","1,854.00","1,855.25","1,819.75","-","1.66%"
"Mar 11, 2019","1,819.75","1,825.00","1,845.75","1,819.75","-","-1.38%"
"Mar 08, 2019","1,845.25","1,840.50","1,847.50","1,839.50","-","0.29%"
"Mar 07, 2019","1,840.00","1,836.50","1,842.75","1,836.25","-","-0.15%"
"Mar 06, 2019","1,842.75","1,838.50","1,851.75","1,836.75","-","-0.49%"
"Mar 05, 2019","1,851.75","1,851.00","1,857.67","1,849.50","-","-0.18%"
"Mar 04, 2019","1,855.00","1,850.25","1,900.75","1,848.25","-","-2.41%"
"Mar 01, 2019","1,900.75","1,893.00","1,902.00","1,887.88","-","0.32%"
"Feb 28, 2019","1,894.75","1,891.00","1,905.25","1,888.50","-","-0.51%"
"Feb 27, 2019","1,904.50","1,905.25","1,912.00","1,893.75","-","0.61%"
"Feb 26, 2019","1,893.00","1,896.25","1,899.25","1,880.99","0.16K","0.24%"
"Feb 25, 2019","1,888.50","1,889.25","1,899.00","1,885.25","-","-0.47%"
"Feb 22, 2019","1,897.50","1,899.00","1,905.93","1,892.25","-","0.22%"
"Feb 21, 2019","1,893.25","1,895.25","1,895.75","1,855.00","-","2.06%"
"Feb 20, 2019","1,855.00","1,858.50","1,859.75","1,840.00","-","0.82%"
"Feb 19, 2019","1,840.00","1,841.25","1,847.50","1,836.74","-","0.12%"
"Feb 18, 2019","1,837.75","1,837.25","1,843.25","1,834.25","-","0.66%"
"Feb 15, 2019","1,825.75","1,830.25","1,834.88","1,820.25","0.10K","0.23%"
"Feb 14, 2019","1,821.50","1,827.25","1,836.50","1,823.25","-","-0.82%"
"Feb 13, 2019","1,836.50","1,836.50","1,848.91","1,834.50","-","-0.01%"
"Feb 12, 2019","1,836.75","1,831.38","1,860.75","1,831.13","-","-1.29%"
"Feb 11, 2019","1,860.75","1,859.75","1,863.25","1,846.54","-","-1.01%"
"Feb 08, 2019","1,879.75","1,891.50","1,907.25","1,876.25","-","0.09%"
"Feb 07, 2019","1,878.00","1,874.38","1,890.00","1,873.63","-","-0.63%"
"Feb 06, 2019","1,890.00","1,912.88","1,919.50","1,886.25","0.07K","-0.90%"
"Feb 05, 2019","1,907.25","1,912.88","1,914.38","1,903.50","-","0.20%"
"Feb 04, 2019","1,903.50","1,900.50","1,905.00","1,867.25","-","1.94%"
"Feb 01, 2019","1,867.25","1,867.25","1,901.00","1,864.75","-","-1.78%"
"Jan 31, 2019","1,901.00","1,900.75","1,906.00","1,897.25","-","0.07%"
"Jan 30, 2019","1,899.75","1,894.00","1,900.00","1,882.25","-","0.93%"
"Jan 29, 2019","1,882.25","1,887.00","1,888.00","1,856.50","-","1.39%"
"Jan 28, 2019","1,856.50","1,864.25","1,912.75","1,857.75","-","-2.94%"
"Jan 25, 2019","1,912.75","1,907.00","1,914.50","1,884.75","-","1.49%"
"Jan 24, 2019","1,884.75","1,886.00","1,907.25","1,869.00","-","-1.18%"
"Jan 23, 2019","1,907.25","1,898.00","1,910.55","1,883.50","-","1.26%"
"Jan 22, 2019","1,883.50","1,892.50","1,894.75","1,850.50","0.02K","1.78%"
"Jan 21, 2019","1,850.50","1,846.25","1,867.75","1,845.25","-","-1.04%"
"Jan 18, 2019","1,870.00","1,865.00","1,866.50","1,853.25","-","0.90%"
"Jan 17, 2019","1,853.25","1,851.13","1,856.13","1,828.38","-","0.05%"
"Jan 16, 2019","1,852.25","1,854.00","1,868.46","1,836.00","-","0.65%"
"Jan 15, 2019","1,840.25","1,845.75","1,847.50","1,818.00","-","1.22%"
"Jan 14, 2019","1,818.00","1,820.25","1,825.25","1,814.22","0.38K","0.25%"
"Jan 11, 2019","1,813.50","1,818.75","1,840.75","1,812.00","-","-1.48%"
"Jan 10, 2019","1,840.75","1,835.00","1,839.25","1,829.75","-","0.52%"
"Jan 09, 2019","1,831.25","1,830.75","1,847.40","1,826.00","-","-0.60%"
"Jan 08, 2019","1,842.25","1,842.25","1,860.25","1,840.50","-","-0.97%"
"Jan 07, 2019","1,860.25","1,859.50","1,864.00","1,850.25","-","0.54%"
"Jan 04, 2019","1,850.25","1,855.50","1,858.25","1,817.50","-","1.80%"
"Jan 03, 2019","1,817.50","1,822.50","1,825.00","1,773.00","-","2.51%"
"Jan 02, 2019","1,773.00","1,777.75","1,822.75","1,764.00","-","-2.73%"
"Dec 31, 2018","1,822.75","1,827.75","1,830.50","1,816.75","-","-0.26%"
"Dec 27, 2018","1,827.50","1,834.75","1,869.75","1,831.50","-","-2.26%"
"Dec 24, 2018","1,869.75","1,860.75","1,885.75","1,858.75","-","-0.85%"
"Dec 21, 2018","1,885.75","1,885.00","1,891.90","1,883.50","-","-0.13%"
"Dec 20, 2018","1,888.25","1,891.00","1,903.50","1,887.63","-","-0.75%"
"Dec 19, 2018","1,902.50","1,889.25","1,905.81","1,881.50","-","0.14%"
"Dec 18, 2018","1,899.75","1,901.38","1,917.38","1,900.63","-","-0.96%"
"Dec 17, 2018","1,918.25","1,914.13","1,918.00","1,902.25","-","0.89%"
"Dec 14, 2018","1,901.25","1,908.50","1,915.33","1,906.18","-","-0.72%"
